id_linha,id_pedido,data_venda,cliente_id,produto,categoria,quantidade,preco_unitario,desconto_percentual,forma_pagamento,cidade,regiao,status_pedido
LIN-000001,PED-00001,2025-05-11,CLI-0013,Candeeiro de Mesa,Casa e Escritório,1,27.90,0,Cartão de crédito,Évora,Alentejo,Concluído
LIN-000002,PED-00002,2024-03-29,CLI-0120,Candeeiro de Mesa,Casa e Escritório,1,28.74,0,Cartão de crédito,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000003,PED-00002,2024-03-29,CLI-0120,Suporte para Portátil,Acessórios,3,34.90,5,Cartão de crédito,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000004,PED-00003,2024-10-12,CLI-0080,Marcadores Coloridos,Papelaria,3,9.17,0,MB WAY,Vila Real,Norte,Concluído
LIN-000005,PED-00004,2024-02-14,CLI-0236,Extensão Elétrica,Casa e Escritório,2,18.33,0,Dinheiro,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000006,PED-00004,2024-02-14,CLI-0236,Marcadores Coloridos,Papelaria,1,8.90,15,Dinheiro,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000007,PED-00005,2025-10-17,CLI-0052,Marcadores Coloridos,Papelaria,1,8.90,5,Cartão de débito,Viseu,Centro,Concluído
LIN-000008,PED-00006,2025-06-12,CLI-0037,Mochila Executiva,Acessórios,1,51.40,0,Cartão de crédito,Sintra,Lisboa e Vale do Tejo,Concluído
LIN-000009,PED-00007,2024-10-01,CLI-0394,Caderno A5,Papelaria,1,6.70,10,Cartão de crédito,Beja,Alentejo,Concluído
LIN-000010,PED-00008,2024-09-24,CLI-0336,Webcam Full HD,Eletrónica,1,56.55,0,Transferência,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000011,PED-00009,2025-07-30,CLI-0220,Organizador de Mesa,Casa e Escritório,3,14.90,5,Cartão de débito,Lagos,Algarve,Concluído
LIN-000012,PED-00009,2025-07-30,CLI-0220,Bolsa para Portátil,Acessórios,3,27.90,0,Cartão de débito,Lagos,Algarve,Concluído
LIN-000013,PED-00009,2025-07-30,CLI-0220,Rato Sem Fios,Eletrónica,1,25.65,15,Cartão de débito,Lagos,Algarve,Concluído
LIN-000014,PED-00009,2025-07-30,CLI-0220,Teclado Mecânico,Eletrónica,2,82.30,10,Cartão de débito,Lagos,Algarve,Concluído
LIN-000015,PED-00010,2024-01-13,CLI-0370,Agenda Semanal,Papelaria,1,12.90,0,Transferência,Braga,Norte,Concluído
LIN-000016,PED-00010,2024-01-13,CLI-0370,"Monitor 24""",Eletrónica,4,179.90,15,Transferência,Braga,Norte,Concluído
LIN-000017,PED-00011,2025-08-12,CLI-0260,Extensão Elétrica,Casa e Escritório,1,18.90,0,Transferência,Lagos,Algarve,Concluído
LIN-000018,PED-00011,2025-08-12,CLI-0260,Hub USB-C,Eletrónica,2,46.25,10,Transferência,Lagos,Algarve,Concluído
LIN-000019,PED-00012,2025-04-11,CLI-0251,Pack Canetas Gel,Papelaria,1,5.05,10,Transferência,Porto,Norte,Concluído
LIN-000020,PED-00012,2025-04-11,CLI-0251,Coluna Bluetooth,Eletrónica,1,69.90,5,Transferência,Porto,Norte,Concluído
LIN-000021,PED-00012,2025-04-11,CLI-0251,Teclado Mecânico,Eletrónica,5,82.30,5,Transferência,Porto,Norte,Concluído
LIN-000022,PED-00013,2024-04-26,CLI-0244,Hub USB-C,Eletrónica,2,44.90,5,Cartão de crédito,Funchal,Ilhas,Concluído
LIN-000023,PED-00013,2024-04-26,CLI-0244,Candeeiro de Mesa,Casa e Escritório,1,27.90,0,Cartão de crédito,Funchal,Ilhas,Concluído
LIN-000024,PED-00014,2025-02-04,CLI-0062,Almofada Ergonómica,Casa e Escritório,1,31.91,0,Cartão de crédito,Coimbra,Centro,Concluído
LIN-000025,PED-00014,2025-02-04,CLI-0062,Coluna Bluetooth,Eletrónica,3,69.90,0,Cartão de crédito,Coimbra,Centro,Concluído
LIN-000026,PED-00015,2024-07-23,CLI-0343,Almofada Ergonómica,Casa e Escritório,2,32.90,0,Cartão de débito,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000027,PED-00015,2024-07-23,CLI-0343,Bolsa para Portátil,Acessórios,1,27.90,0,Cartão de débito,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000028,PED-00015,2024-07-23,CLI-0343,Coluna Bluetooth,Eletrónica,1,67.80,5,Cartão de débito,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000029,PED-00016,2025-12-24,CLI-0051,Hub USB-C,Eletrónica,1,44.90,0,MB WAY,Porto,Norte,Concluído
LIN-000030,PED-00017,2024-06-08,CLI-0237,Candeeiro de Mesa,Casa e Escritório,2,28.74,10,Transferência,Coimbra,Centro,Concluído
LIN-000031,PED-00017,2024-06-08,CLI-0237,"Monitor 24""",Eletrónica,4,179.90,0,Transferência,Coimbra,Centro,Concluído
LIN-000032,PED-00017,2024-06-08,CLI-0237,Teclado Mecânico,Eletrónica,1,79.90,10,Transferência,Coimbra,Centro,Concluído
LIN-000033,PED-00018,2025-11-14,CLI-0085,Garrafa Térmica,Acessórios,2,22.56,10,Dinheiro,Viseu,Centro,Concluído
LIN-000034,PED-00018,2025-11-14,CLI-0085,Pack Canetas Gel,Papelaria,1,4.90,0,Dinheiro,Viseu,Centro,Concluído
LIN-000035,PED-00018,2025-11-14,CLI-0085,Suporte para Portátil,Acessórios,4,35.95,10,Dinheiro,Viseu,Centro,Concluído
LIN-000036,PED-00019,2024-03-02,CLI-0161,Carregador USB-C,Eletrónica,1,29.90,0,Cartão de débito,Porto,Norte,Concluído
LIN-000037,PED-00019,2024-03-02,CLI-0161,Teclado Mecânico,Eletrónica,1,79.90,0,Cartão de débito,Porto,Norte,Concluído
